token;reference
erhöhen;O
Für;O
die;O
Befüllung;O
von;O
Sandsäcken;O
werden;O
deshalb;O
dringend;O
freiwillige;O
Helfer;O
gesucht;O
sagt;O
Ortswehrleiter;O
Wolfgang;O
Beckmann;O
wer;O
Zeit;O
hat;O
möge;O
bitte;O
kommen;O
und;O
uns;O
unterstützen;O
Natürlich;O
wurden;O
auch;O
alle;O
Ortswehren;O
alarmiert;O
aber;O
dennoch;O
wird;O
jede;O
helfende;O
Hand;O
benötigt;O
denn;O
es;O
gilt;O
Sandsäcke;O
zu;O
füllen;O
wie;O
Wolfgang;O
Beckmann;O
sagte;O
Bereits;O
am;O
Wochenende;O
hatten;O
die;O
Gerwischer;O
Kameraden;O
gut;O
Säcke;O
mit;O
Sand;O
befühlt;O
Jetzt;O
werden;O
sie;O
hauptsächlich;O
damit;O
beschäftigt;O
sein;O
den;O
Deich;O
fachgerecht;O
zu;O
erhöhen;O
Also;O
Kommen;O
Sie;O
und;O
helfen;O
Sie;O
mit;O
den;O
Deich;O
zu;O
sichern;O
Treffpunkt;O
ist;O
Uhr;O
an;O
der;O
Gerwischer;LOC
Kirche;LOC
HELFER;O
IN;O
DESSAU;LOC
GESUCHT;O
Wie;O
das;O
THW;O
mitteilte;O
werden;O
Helfer;O
zum;O
befüllen;O
von;O
Sandsäcken;O
auf;O
der;O
alten;O
Landebahn;O
gesucht;O
HELFER;O
IN;O
DESSAU;LOC
GESUCHT;O
Wie;O
das;O
THW;O
mitteilte;O
werden;O
Helfer;O
zum;O
befüllen;O
von;O
Sandsäcken;O
auf;O
der;O
alten;O
Landebahn;O
gesucht;O
Die;O
Stadt;O
Bad;LOC
Dürrenberg;LOC
sucht;O
Freiwillige;O
Helfer;O
wer;O
möchte;O
kann;O
sich;O
unter;O
der;O
Rufnummer;O
melden;O
Wo;O
soll;O
ich;O
Helfen;O
wo;O
es;O
dringend;O
ist;O
Der;O
Pegel;O
in;O
Trotha;LOC
hat;O
die;O
historische;O
Marke;O
von;O
Metern;O
überschritten;O
und;O
ist;O
um;O
bei;O
m;O
angelangt;O
Die;O
Feuerwehr;O
sucht;O
Helfer;O
zum;O
Sandsackbefüllen;O
Wo;O
wird;O
Hilfe;O
benötigt;O
Kann;O
man;O
irgendwie;O
in;O
Raum;O
Zeitz;LOC
noch;O
weiter;O
helfen;O
Sandsäcke;O
haben;O
wir;O
schon;O
fleißig;O
befüllt;O
Aber;O
man;O
möchte;O
weiter;O
helfen;O
LG;O
Ne;O
Übersicht;O
wo;O
direkt;O
noch;O
Hilfe;O
benötigt;O
wird;O
wäre;O
schön;O
Montag;O
Uhr;O
Bitterfelder;O
Krankenhaus;O
wird;O
evakuiert;O
Das;O
Krankenhaus;O
in;O
Bitterfeld;LOC
wird;O
jetzt;O
evakuiert;O
In;O
Dessau-Roßlau;LOC
rechnet;O
Oberbürgermeister;O
mit;O
höheren;O
Pegeln;O
von;O
Elbe;LOC
und;O
Mulde;LOC
als;O
im;O
Jahr;O
Bewohner;O
der;O
Vororte;O
Sollnitz;LOC
und;O
Kleutsch;LOC
sollen;O
sich;O
auf;O
eventuelle;O
Evakuierung;O
vorbereiten;O
Nun;O
wird;O
auch;O
versucht;O
mit;O
Bigpacks;O
zu;O
verhindern;O
dass;O
das;O
Muldewasser;O
die;O
A;O
nahe;O
Dessau-Süd;LOC
Möster;LOC
Höhen;LOC
überflutet;O
Die;O
ohnehin;O
baufälluige;O
Muldebrücke;O
Autobahnzubringer;O
B;O
in;O
Dessau;LOC
könnte;O
auch;O
gesperrt;O
werden;O
An;O
unsanierten;O
Deichen;O
in;O
der;O
Wasserstadt;O
an;O
der;O
Muluferrandstraße;LOC
und;O
im;O
Stadtteil;O
Kreuzberg;LOC
in;O
Dessau;LOC
drohen;O
Überspülungen;O
deshalb;O
werden;O
dort;O
Sandsäcke;O
errichtet;O
Helfer;O
sind;O
derzeit;O
im;O
Einsatz;O
Es;O
wird;O
Verstärkung;O
benötigt;O
Treffpunkt;O
Alte;LOC
Landebahn;LOC
in;O
Dessau;LOC
am;O
Flugplatz;O
Quelle;O
Radio;O
SAW;O
News-Ticker;O
Würden;O
uns;O
gern;O
im;O
Bereich;O
Zeitz;LOC
und;O
Wetterzeube;LOC
zum;O
Helfen;O
anmelden;O
so;O
richtig;O
gibt;O
es;O
keinen;O
Ansprechpartner;O
an;O
wen;O
muss;O
man;O
sich;O
wenden;O
Krisenstab;O
verwies;O
nur;O
an;O
DRK;O
DRK;O
hat;O
es;O
aufgenommen;O
meldet;O
sich;O
aber;O
nicht;O
sagt;O
bitte;O
wo;O
Ihr;O
im;O
Bereich;O
Zeitz;LOC
Wetterzeube;LOC
Hilfe;O
braucht;O
helfen;O
gern;O
Wohin;O
kann;O
man;O
sich;O
in;O
Halle;LOC
wenden;O
wenn;O
man;O
Hilfe;O
zum;O
Sandsäcketragen;O
oder;O
Sonstigen;O
anbieten;O
möchte;O
WICHTIG;O
FÜR;O
ALLE;O
BEWOHNER;O
IN;O
UM;O
BITTERFELD;LOC
Ab;O
Uhr;O
Vollsperrung;O
der;O
Straße;O
zwischen;O
Löbnitz;LOC
Pouch;LOC
Auf;O
der;O
Halbinsel;LOC
Pouch;LOC
Befüllung;O
von;O
Sandsäcken;O
für;O
alle;O
Betroffenen;O
FREIWILLIGE;O
HELFER;O
GESUCHT;O
Treffpunkt;O
Uhr;O
Halbinsel;LOC
Pou;LOC
DU;O
SUCHST;O
HILFE;O
DU;O
MÖCHTEST;O
HELFEN;O
Der;O
MDR;O
bietet;O
unter;O
folgendem;O
Link;O
einen;O
Austausch;O
von;O
Informationen;O
an;O
Wo;O
genau;O
in;O
Greppin;LOC
wird;O
Hilfe;O
gebraucht;O
Wo;O
in;O
Zeitz;LOC
und;O
Umgebung;O
wird;O
denn;O
noch;O
Hilfe;O
benötigt;O
Aktuelle;O
Bilder;O
von;O
der;O
Alten;LOC
Landebahn;LOC
in;O
Dessau;LOC
wo;O
derzeit;O
hunderte;O
Helfer;O
von;O
THW;O
Feuerwehr;O
Stadtpflege;O
DB;O
Werk;O
Dessau;LOC
u;O
s;O
w;O
Sandsäcke;O
im;O
Akkordeon;O
abfüllen;O
Weitere;O
Helfer;O
werden;O
benötigt;O
Werden;O
in;O
Dessau;LOC
Deichläufer;O
benötigt;O
HELFER;O
IN;O
VOCKERODE;LOC
BEI;O
DESSAU;LOC
GESUCHT;O
Hier;O
müssen;O
Vorbereitungen;O
für;O
die;O
Rettung;O
der;O
A;O
getroffen;O
werden;O
Treffpunkt;O
Feuerwehr;O
Es;O
werden;O
noch;O
Helfer;O
in;O
Dessau;LOC
gesucht;O
vor;O
allem;O
in;O
Waltersee;LOC
Wasserstadt;LOC
TRANSPORTER;O
LKW;O
S;O
ETC;O
GESUCHT;O
Für;O
den;O
Abtransport;O
von;O
Sandsäcken;O
auf;O
der;O
Halbinsel;LOC
Poch;LOC
werden;O
dringend;O
Transportfahrzeuge;O
gesucht;O
In;O
Magdeburg;LOC
können;O
sich;O
freiwillige;O
Helfer;O
ab;O
morgen;O
hier;O
melden;O
Quelle;O
mdr;O
de;O
Bitte;O
um;O
infos;O
Wo;O
muss;O
ich;O
melden;O
zum;O
helfen;O
Wer;O
Hände;O
hat;O
die;O
nichts;O
zu;O
tun;O
haben;O
Wasserstadt;O
Dessau;LOC
helfen;O
kommen;O
Jemand;O
aus;O
der;O
Region;O
um;O
Zörbig;LOC
der;O
zum;O
Helfen;O
nach;O
Raguhn;LOC
fährt;O
HALLE;LOC
SUCHT;O
HELFENDE;O
HÄNDE;O
An;O
der;O
Eissporthalle;O
werden;O
Helfer;O
gesucht;O
Werden;O
eventuell;O
an;O
der;O
mulde;LOC
dessau;LOC
noch;O
helfende;O
hände;O
gebraucht;O
wo;O
werden;O
helfer;O
in;O
der;O
bitterfelder;LOC
umgebung;O
gebraucht;O
ACHTUNG;O
ACHTUNG;O
Der;O
Deich;O
in;O
der;O
Wasserstadt;O
in;O
Dessau;LOC
droht;O
zu;O
brechen;O
Das;O
THW;O
benötigt;O
unsere;O
Hilfe;O
Wird;O
morgen;O
abend;O
auch;O
noch;O
in;O
halle;O
hilfe;O
benötigt;O
da;O
ich;O
erst;O
ab;O
morgen;O
gegen;O
abend;O
kann;O
Weiss;O
jemand;O
ob;O
in;O
schönebeck;LOC
noch;O
helfer;O
gebraucht;O
werden;O
Eben;O
habe;O
ich;O
einen;O
Anruf;O
von;O
der;O
Landebahn;O
Dessau;LOC
erhalten;O
Es;O
sind;O
ca;O
Helfer;O
vor;O
Ort;O
Bei;O
der;O
Einwohnerzahl;O
von;O
Dessau;LOC
ist;O
das;O
nicht;O
viel;O
ES;O
WERDEN;O
DINGEND;O
HELFER;O
AN;O
DER;O
LANDEBAHN;O
DESSAU;LOC
BENÖTIGT;O
bitte;O
helft;O
ES;O
KÖNNTE;O
AUCH;O
EUER;O
HAUS;O
SEIN;O
Wo;O
wird;O
hilfe;O
in;O
BTF;O
benötigt;O
HILFE;O
IN;O
HALLE;LOC
Wo;O
wird;O
noch;O
gebraucht;O
wo;O
ist;O
denn;O
ein;O
Treffpunkt;O
in;O
Magdeburg;LOC
komme;O
nicht;O
von;O
hier;O
und;O
kenne;O
mich;O
nicht;O
aus;O
will;O
aber;O
helfen;O
bitte;O
antworten;O
Weil;O
morgen;O
die;O
Schule;O
ausfällt;O
würden;O
einige;O
Schüler;O
des;O
Heinrich-Heine-Gymnasiums;O
Bitterfeld;LOC
Wolfen;LOC
mit;O
anpacken;O
wollen;O
Wo;O
wird;O
den;O
besonders;O
Hilfe;O
benötigt;O
Auf;O
der;O
alten;O
Landebahn;O
in;O
Dessau-Roßlau;LOC
können;O
fleißige;O
Helfer;O
sind;O
einfinden;O
und;O
mit;O
Sandsäcke;O
befüllen;O
In;O
Kleutsch;LOC
werden;O
noch;O
Helfer;O
benötigt;O
für;O
die;O
Evakuierung;O
des;O
Tierheimes;O
dort;O
Diese;O
Nachricht;O
haben;O
wir;O
vor;O
ca;O
min;O
von;O
einem;O
Helfer;O
erhalten;O
ES;O
WERDEN;O
SEEEEEHR;O
DRINGEND;O
VIELE;O
HELFER;O
IM;O
WALDKATER;LOC
AN;LOC
DER;LOC
HEIDE;LOC
IN;O
HALLE;LOC
SAALE;O
GESUCHT;O
WEGEN;O
SANDSÄCKE;O
BEFÜLLEN;O
UND;O
AUFBAUEN;O
JEDE;O
HELFENDE;O
HAND;O
IST;O
UNS;O
WICHTIG;O
BITTE;O
BITTE;O
KOMMT;O
UND;O
HELFT;O
UNS;O
DIE;O
STADT;O
ZU;O
RETTEN;O
DIE;O
STADT;O
HALLE;LOC
BESCHREIBT;O
DIE;O
SITUATION;O
ALS;O
KRITISCH;O
DRINGEND;O
HELFER;O
GESUCHT;O
EILMELDUNG;O
AUS;O
DESSAU;LOC
In;O
der;O
Dessauer;LOC
Hagenbreite;LOC
gibt;O
ein;O
Deich;O
nach;O
Dringend;O
Helfer;O
mit;O
Sandsäcken;O
benötigt;O
Vockerode;LOC
braucht;O
für;O
morgen;O
dringend;O
Helfer;O
Ab;O
um;O
uhr;O
Wo;O
kann;O
man;O
in;O
Magdeburg;LOC
helfen;O
Dringende;O
Helfer;O
in;O
Groß;LOC
Rosenburg;LOC
an;O
der;O
Saale;LOC
ab;O
morgen;O
um;O
Uhr;O
gesucht;O
zum;O
Sandsäcke;O
befüllen;O
und;O
schleppen;O
Treff;O
Fabrikstraße;LOC
auf;O
dem;O
Hof;O
von;O
Graumann;O
s;O
Es;O
werden;O
auch;O
Leute;O
für;O
die;O
Deichwache;O
gesucht;O
Ab;O
wann;O
kann;O
man;O
morgen;O
in;O
Dessau;LOC
an;O
der;O
Landebahn;O
helfen;O
Wo;O
wird;O
zurzeit;O
am;O
dringensten;O
Hilfe;O
benötigt;O
Darf;O
man;O
jetzt;O
eingentlich;O
schon;O
ab;O
helfen;O
oder;O
nicht;O
Bitte;O
Dringend;O
mit;O
LKW;O
s;O
und;O
Staplern;O
zum;O
THW;O
Dessau;LOC
Alte;LOC
Landebahn;LOC
kommen;O
volle;O
säcke;O
müssen;O
abgeholt;O
werden;O
Komme;O
gerade;O
vom;O
Helfen;O
am;O
gimritzer;LOC
damm;LOC
in;O
Halle;LOC
Es;O
schaut;O
mega;O
bescheiden;O
aus;O
Helfer;O
werden;O
noch;O
immer;O
gebraucht;O
nur;O
an;O
der;O
koorination;O
vor;O
Ort;O
muss;O
dringend;O
gearbeitet;O
werden;O
Hochwasser-Koordinierung;O
für;O
freiwillige;O
Helfer;O
läuft;O
in;O
Zeitz;LOC
über;O
die;O
Telefonnummer;O
Wo;O
wird;O
Hilfe;O
benötigt;O
Sind;O
aus;O
Köthen;LOC
und;O
haben;O
zeit;O
Hallo;O
zusammen;O
Also;O
ich;O
hab;O
nun;O
mehrfach;O
überlegt;O
wie;O
auch;O
ich;O
helfen;O
kann;O
Folgende;O
Idee;O
Ich;O
bin;O
zum;O
einen;O
gelernter;O
Koch;O
aus;O
Rachs;O
Restaurantschule;O
als;O
aber;O
auch;O
ausgebildeter;O
Rettungsassistent;O
wenn;O
IRGENDJEMAND;O
eine;O
Ahnung;O
hat;O
wo;O
genau;O
meine;O
Hilfe;O
sei;O
es;O
bei;O
der;O
Verpflegung;O
als;O
aber;O
auch;O
bei;O
Rettungsmaßnahmen;O
sprich;O
Evakuierung;O
Sandsack;O
etc;O
gebraucht;O
werden;O
kann;O
könnte;O
dann;O
meldet;O
euch;O
doch;O
Kommentiert;O
einfach;O
oder;O
schreibt;O
mir;O
am;O
besten;O
direkt;O
eine;O
eMail;O
aufs;O
Handy;O
mishi;O
kuehnel;O
gmail;O
com;O
P;O
S;O
Ja;O
ich;O
komme;O
zwar;O
aus;O
Hannover;LOC
aber;O
zu;O
euch;O
rüber;O
ist;O
ja;O
nun;O
nicht;O
zwigend;O
so;O
weit;O
LG;O
wo;O
kann;O
ich;O
morgen;O
nach;O
uhr;O
mit;O
helfen;O
Benötigt;O
noch;O
wer;O
Hilfe;O
In;O
ganz;O
Deutschland;LOC
verfügbar;O
Ich;O
kann;O
morgen;O
den;O
ganzen;O
tag;O
Sagt;O
mir;O
bescheid;O
wo;O
Meine;O
Freundin;O
und;O
ich;O
wollen;O
morgen;O
auch;O
helfen;O
kommen;O
in;O
halle;LOC
oder;O
Leipzig;LOC
kann;O
mir;O
jemand;O
helfen;O
und;O
sagen;O
wo;O
wir;O
uns;O
hinwenden;O
können;O
telefonnummer;O
ect;O
Fahre;O
morgen;O
Nachmittag;O
von;O
Roßlau;LOC
nach;O
Dessau;LOC
zum;O
Helfen;O
Könnte;O
noch;O
jemanden;O
mitnehmen;O
Wie;O
kann;O
man;O
helfen;O
Ich;O
bin;O
in;O
Frankfurt;LOC
und;O
habe;O
Ferien;O
zwei;O
Beine;O
und;O
Arme;O
Wäre;O
schön;O
wenn;O
die;O
Bahn;O
da;O
was;O
machen;O
könnte;O
bräuchte;O
auch;O
eine;O
schlaf;O
Möglichkeit;O
Ideen;O
Wie;O
kann;O
ich;O
aus;O
der;O
ferne;O
helfen;O
Scheiße;O
ich;O
komm;O
aus;O
biederitz;LOC
und;O
ich;O
muss;O
arbeiten;O
würd;O
sofort;O
helfen;O
bin;O
Kraftfahrer;O
Ich;O
versuch;O
gerade;O
ne;O
Kieler;O
Gruppe;O
fürs;O
Wochenende;O
zu;O
mobilisieren;O
um;O
zu;O
helfen;O
mit;O
wem;O
kann;O
ich;O
in;O
Kontakt;O
treten;O
um;O
ca;O
Donnerstag;O
zu;O
erfahren;O
wo;O
man;O
am;O
ehesten;O
gebraucht;O
wird;O
Soeben;O
wurden;O
alle;O
freiwilligen;O
Helfer;O
und;O
Medienvertreter;O
aufgefordert;O
die;O
Einsatzstelle;O
am;O
Gimritzer;LOC
Damm;LOC
umgehend;O
zu;O
verlassen;O
Nur;O
die;O
Feuerwehrleute;O
verbleiben;O
noch;O
vor;O
Ort;O
Wir;O
haben;O
grad;O
keine;O
gute;O
Vorahnung;O
Ich;O
kann;O
erst;O
ab;O
Freitag;O
helfen;O
Werden;O
Sachen;O
Bettwäsche;O
oder;O
Decken;O
benötigt;O
Ich;O
möchte;O
aber;O
nicht;O
stören;O
oder;O
als;O
Gaffer;O
gelten;O
Viele;O
Leute;O
von;O
uns;O
würden;O
Kuchen;O
backen;O
um;O
etwas;O
zu;O
tun;O
Essen;O
muss;O
man;O
immer;O
An;O
wen;O
soll;O
ich;O
mich;O
wenden;O
grüße;O
also;O
wenn;O
jemand;O
noch;O
Hilfe;O
brauch;O
in;O
meiner;O
Region;O
komme;O
aus;O
Köthen;LOC
wegen;O
Hochwasser;O
am;O
Mittwoch;O
hätte;O
ich;O
zeit;O
bitte;O
per;O
PN;O
melden;O
man;O
müsste;O
mich;O
dann;O
eben;O
nur;O
abholen;O
Freiwillige;O
Helfer;O
für;O
Magdeburg;LOC
können;O
sich;O
ab;O
Uhr;O
beim;O
Bürgertelefon;O
melden;O
kann;O
man;O
irgendwie;O
helfen;O
mit;O
irgendwas;O
auch;O
wenn;O
man;O
km;O
weg;O
wohnt;O
würde;O
gern;O
helfen;O
für;O
raguhn;LOC
jessnitz;LOC
bitterfeld;LOC
und;O
so;O
Kann;O
noch;O
in;LOC
Raguhn;LOC
und;LOC
Sollnitz;LOC
oder;O
so;O
helfen;O
hab;O
Traktor;O
und;O
Hänger;O
zum;O
Transport;O
von;O
Sandsäcken;O
oder;O
anderes;O
dabei;O
Sind;O
von;O
Möhlau;LOC
nur;O
min;O
für;O
mich;O
anrufen;O
und;O
ich;O
mach;O
los;O
oder;O
einfach;O
so;O
Bescheid;O
geben;O
hab;O
Zeit;O
Halle;LOC
Auch;O
aus;O
der;O
Innenstadt;O
gibt;O
es;O
neue;O
Meldungen;O
Der;O
Glauchaer;LOC
Platz;LOC
ist;O
komplett;O
gesperrt;O
hier;O
drückt;O
das;O
Wasser;O
durch;O
die;O
Gullydeckel;O
alles;O
steht;O
unter;O
Wasser;O
Am;O
Gimritzer;LOC
Damm;LOC
wird;O
jetzt;O
weiter;O
gearbeitet;O
Auch;O
die;O
freiwilligen;O
Helfer;O
sind;O
wieder;O
im;O
Einsatz;O
Die;O
Evakuierung;O
vorhin;O
erfolgte;O
nur;O
vorsorglich;O
Wer;O
zeit;O
hat;O
komme;O
an;O
die;O
spitze;O
in;O
halle;LOC
Wasserstadt;O
in;O
Dessau;LOC
nicht;O
mehr;O
für;O
Freiwilligehelfer;O
frei;O
Muldepegel;O
nicht;O
mehr;O
ablesbar;O
an;O
Dessauer;LOC
Muldebrücke;LOC
Am;O
Gimritzerdam;LOC
wird;O
noch;O
Hilfe;O
gesucht;O
Sandsäcke;O
füllen;O
und;O
verladen;O
Sammelstelle;O
ist;O
am;O
Hubertusplatz;LOC
Nähe;O
waldkarter;LOC
HalleON;O
de;O
Am;O
wurde;O
in;O
Trotha;LOC
der;O
an;O
dieser;O
Station;O
bis;O
vor;O
einer;O
Stunde;O
höchste;O
Pegel;O
aller;O
Zeiten;O
bei;O
Metern;O
gemessen;O
Jetzt;O
sind;O
wir;O
bei;O
m;O
Uhr;O
Wenn;O
ihr;O
Zeit;O
und;O
Kraft;O
habt;O
könnt;O
ihr;O
euch;O
zum;O
Sandsackbefüllen;O
melden;O
Alle;O
Infos;O
dazu;O
auf;O
Wer;O
die;O
Einsatzkräfte;O
beim;O
Sandsackfüllen;O
unterstützen;O
möchte;O
kann;O
sich;O
beim;O
Bürgertelefon;O
melden;O
Die;O
Landeshauptstadt;O
hat;O
unter;O
ein;O
Bürgertelefon;O
geschaltet;O
das;O
ab;O
Dienstag;O
von;O
bis;O
Uhr;O
geschaltet;O
ist;O
Lokalräumung;O
in;O
Stein;LOC
WELLENSPIEL;O
Helfer;O
ab;O
früh;O
gesucht;O
Diese;O
Personen;O
würden;O
Helfen;O
einfach;O
bei;O
diesen;O
Personen;O
melden;O
Raum;O
St;LOC
Valentin;LOC
Steyr;LOC
Raum;O
Krems;LOC
Steyr;LOC
Garsten;LOC
In;O
kürze;O
weitere;O
Helfer;O
VON;O
Sabrina;O
Zeugswetter;O
Kloster;LOC
Und;O
in;O
Stein;LOC
würde;O
Sandsäcke;O
benötigen;O
Denise;O
Dvorak;O
möchte;O
euch;O
wieterhin;O
mit;O
Semmeln;O
Broten;O
und;O
Getränke;O
aushelfen;O
Zu;O
wählen;O
und;O
nennen;O
ist;O
Rotes;O
Kreuz;O
Herzogenburg;LOC
Denise;O
Dvorak;O
Ab;O
Uhr;O
hat;O
hat;O
sie;O
Zeit;O
für;O
Betroffene;O
ACHTUNG;LOC
Jeder;O
der;O
helfen;O
will;O
einfach;O
nach;O
Stein;LOC
kommen;O
und;O
Hilfe;O
anbieten;O
es;O
gibt;O
einige;O
die;O
Hilfe;O
brauchen;O
z;O
B;O
auch;O
Sandsäcke;O
füllen;O
und;O
schlichten;O
usw;O
Suche;O
Mitfahrgelegenheit;O
zur;O
Hochwassergebieten;O
von;O
Amberg;LOC
in;O
der;O
Opf;LOC
zum;O
helfen;O
Würde;O
auch;O
gern;O
helfen;O
bin;O
ausgebildeter;O
wasserretter;O
und;O
sanitäter;O
komm;O
aus;O
der;O
nähe;O
hersbruck;LOC
wird;O
vor;O
Ort;O
noch;O
Hilfe;O
benötigt;O
hab;O
mich;O
bereits;O
über;O
Antenne;O
Bayern;LOC
gemeldet;O
aber;O
noch;O
keine;O
Rückmeldung;O
bekommen;O
bin;O
so;O
weit;O
fertig;O
und;O
könnte;O
losfahren;O
Sandsäcke;O
befüllen;O
o;O
ä;O
also;O
in;O
landkreis-kelheim;LOC
droht;O
ein;O
deich;O
zu;O
brchen;O
also;O
wer;O
hin;O
kann;O
es;O
werden;O
pumpen;O
und;O
sandsäcke;O
gebraucht;O
und;O
leute;O
ich;O
würde;O
auch;O
jederzeit;O
helfen;O
egal;O
welcher;O
art;O
Bitte;O
einfach;O
bescheid;O
geben;O
Gebiet;O
Passau;LOC
Die;O
Feuerwehr;O
Manching;LOC
sucht;O
Helfer;O
zum;O
Sandsäcke;O
befüllen;O
Helfer;O
sollen;O
sich;O
unter;O
der;O
melden;O
sodass;O
dies;O
koordiniert;O
werden;O
kann;O
Hallo;O
ich;O
bin;O
Mitglied;O
in;O
der;O
Freiwilligen;O
Feuerwehr;O
Markt;LOC
Ipsheim;LOC
Dort;O
bin;O
ich;O
stellv;O
Kommandant;O
und;O
ausgebildeter;O
Zugführer;O
Gerne;O
helfe;O
ich;O
in;O
einem;O
der;O
Katastrophengebiete;O
mit;O
Ich;O
bin;O
ebenfalls;O
Zugführer;O
der;O
Freiwilligen;O
Feuerwehr;O
und;O
komme;O
natürlich;O
zur;O
Hilfe;O
Also;O
laut;O
Telefonauskunft;O
entspannt;O
sich;O
die;O
Lage;O
in;O
Manching;LOC
da;O
sehr;O
sehr;O
viele;O
Helfer;O
vor;O
Ort;O
sind;O
Kann;O
tag;O
nacht;O
helfen;O
Man;O
gibt;O
sein;O
bestes;O
Ich;O
habe;O
Mittwoch;O
und;O
Donnerstag;O
vorraussichtlich;O
frei;O
also;O
ich;O
kann;O
helfen;O
an;O
den;O
Tagen;O
Kann;O
man;O
noch;O
wo;O
helfen;O
würde;O
gerne;O
helfen;O
gehen;O
hab;O
aber;O
leider;O
kein;O
Auto;O
komme;O
aus;O
Nürnberg;LOC
Gehör;O
auch;O
zu;O
passau;LOC
Passau;LOC
vilshofen;LOC
könnte;O
ich;O
helfen;O
Wenn;O
jemand;O
hilfe;O
braucht;O
AUFRÄUMEN;O
SANIEREN;O
RENOVIEREN;O
ENTRUMMPELN;O
ETC;O
einfach;O
pn;O
an;O
mich;O
habe;O
urlaub;O
und;O
helfe;O
gern;O
Braucht;O
jemand;O
in;O
oederan;LOC
oder;O
Umgebung;O
Hilfe;O
Hab;O
noch;O
vier;O
Stunden;O
bis;O
ich;O
meine;O
Mäuse;O
wieder;O
abholen;O
muss;O
werden;O
noch;O
helfer;O
für;O
leipzig;LOC
gesucht;O
weiß;O
jemand;O
ob;O
in;O
Leisnig;LOC
und;O
Umgebung;O
aktuell;O
noch;O
Hilfe;O
gebraucht;O
wird;O
Hallo;O
liebe;O
Sachsen;LOC
ich;O
bin;O
zwar;O
Preuße;O
aber;O
dezeit;O
Wochen;O
auf;O
Studienreise;O
in;O
Dippoldiswalde;LOC
und;O
Umgebung;O
unterwegs;O
Wenn;O
jemand;O
in;O
der;O
nähe;O
Hände;O
und;O
ein;O
Auto;O
braucht;O
schreibt;O
mich;O
an;O
Wo;O
wird;O
in;O
Freiberg;LOC
und;O
Umgebung;O
noch;O
Hilfe;O
benötigt;O
Wir;O
erhalten;O
zahlreiche;O
Hilfsangebote;O
auf;O
Einfach;O
Freiberg;LOC
aber;O
alle;O
uns;O
bekannten;O
Stellen;O
verfügen;O
aktuell;O
über;O
ausreichend;O
Helfer;O
Leipzig;LOC
SEHR;O
DRINGEND;O
AB;O
SOFORT;O
HELFER;O
GESUCHT;O
Am;O
Reiterhof;O
Knauthain;LOC
und;O
an;O
der;O
Brückenstraße;LOC
die;O
Dämme;O
sind;O
kurz;O
vor;O
dem;O
Brechen;O
und;O
jede;O
helfende;O
Hand;O
ist;O
gerade;O
notwendig;O
Wer;O
Hilfe;O
in;O
Chemnitz;LOC
und;O
Umgebung;O
brauch;O
bitte;O
melden;O
Ich;O
biete;O
auch;O
meine;O
Hilfe;O
an;O
für;O
morgen;O
früh;O
Im;O
Raum;O
Dresden;LOC
Einfach;O
melden;O
Wo;O
kann;O
ich;O
im;O
Raum;O
Oederan;LOC
helfen;O
Auto;O
zwei;O
Hände;O
sind;O
verfügbar;O
für;O
den;O
Rest;O
des;O
heutigen;O
Abends;O
ich;O
wäre;O
auch;O
gern;O
bereit;O
zu;O
helfen;O
im;O
raum;O
leipzig;LOC
ich;O
bin;O
jedoch;O
auf;O
öffentliche;O
verkehrsmittel;O
angewiesen;O
bei;O
bedarf;O
geb;O
ich;O
zur;O
besseren;O
koordination;O
gerne;O
meine;O
handynummer;O
raus;O
Ein;O
großes;O
Lob;O
an;O
den;O
Gründer;O
dieser;O
Gruppe;O
ich;O
denke;O
es;O
gibt;O
sehr;O
viele;O
Menschen;O
die;O
gern;O
helfen;O
würden;O
aber;O
nicht;O
genau;O
wissen;O
wo;O
genau;O
sie;O
sich;O
hinwenden;O
sollen;O
und;O
ihr;O
Hilfe;O
anbieten;O
können;O
wie;O
ich;O
zum;O
Beispiel;O
Demnach;O
biete;O
ich;O
also;O
meine;O
Hilfe;O
im;O
Raum;O
Plauen;LOC
an;O
und;O
hoffe;O
dass;O
sie;O
gebraucht;O
wird;O
Gudrun;O
Ebert;O
In;O
Leipzig;LOC
an;O
der;O
Brückenstrasse;LOC
drohen;O
die;O
Dämme;O
am;O
brechen;O
Es;O
wird;O
um;O
jede;O
helfende;O
Hand;O
gebeten;O
vor;O
Minuten;O
Wir;O
haben;O
hier;O
viele;O
die;O
Hilfe;O
anbieten;O
Schreibt;O
nochmal;O
wer;O
Hilfe;O
braucht;O
denn;O
in;O
der;O
masse;O
geht;O
einiges;O
unter;O
Danke;O
biete;O
unterkunft;O
und;O
hilfe;O
an;O
im;O
raum;O
chemnitz;LOC
auch;O
mit;O
baby;O
möglich;O
einfach;O
anschreiben;O
lg;O
nina;O
Kann;O
auch;O
helfen;O
egal;O
wo;O
bin;O
bereit;O
nur;O
schreiben;O
und;O
ich;O
bin;O
da;O
ok;O
lg;O
maik;O
Biete;O
Hilfe;O
Rings;O
um;O
Freiberg;LOC
an;O
eventuele;O
wasserabwehr;O
und;O
aufräum;O
arbeiten;O
nach;O
der;O
flut;O
sind;O
zu;O
zweit;O
und;O
mobil;O
auch;O
für;O
besorgungen;O
stehen;O
wir;O
zur;O
verfügung;O
Kann;O
im;O
raum;O
