"token";"pos";"reference";"ner_raw";"token_normalized";"pos_normalized";"ner_norm";"ner_geoname_ne";"ner_geoname_ne_nn";"ner_geoname_ne_nn_prp";"ner_geoname_ne_nn_prp2"
"abfahrenden";"ADJA";"O";"O";"abfahrenden";"ADJA";"O";"O";"O";"O";"O"
"LKWs";"NN";"O";"O";"LKWs";"NN";"O";"O";"O";"O";"O"
"nicht";"PTKNEG";"O";"O";"nicht";"PTKNEG";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"behindern";"VVINF";"O";"O";"behindern";"VVINF";"O";"O";"O";"O";"O"
"Vielen";"PIS";"O";"O";"Vielen";"PIS";"O";"O";"O";"O";"O"
"Dank";"NN";"O";"O";"Dank";"NN";"O";"O";"O";"O";"O"
"Hallo";"ITJ";"O";"O";"Hallo";"ITJ";"O";"O";"O";"O";"O"
"ihr";"PPOSAT";"O";"O";"ihr";"PPOSAT";"O";"O";"O";"O";"O"
"lieben";"ADJA";"O";"O";"lieben";"ADJA";"O";"O";"O";"O";"O"
"Wer";"PWS";"O";"O";"Wer";"PWS";"O";"O";"O";"O";"O"
"will";"VMFIN";"O";"O";"will";"VMFIN";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"essen";"VVINF";"O";"O";"essen";"VVINF";"O";"O";"O";"O";"O"
"kochen";"VVFIN";"O";"O";"kochen";"VVFIN";"O";"O";"O";"O";"O"
"für";"APPR";"O";"O";"für";"APPR";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"helfer";"ADJA";"O";"O";"helfer";"ADJA";"O";"O";"O";"O";"O"
"Wer";"PWS";"O";"O";"Wer";"PWS";"O";"O";"O";"O";"O"
"hat";"VAFIN";"O";"O";"hat";"VAFIN";"O";"O";"O";"O";"O"
"ideen";"ADV";"O";"O";"ideen";"ADV";"O";"O";"O";"O";"O"
"oder";"KON";"O";"O";"oder";"KON";"O";"O";"O";"O";"O"
"lust";"ADV";"O";"O";"lust";"ADV";"O";"O";"O";"O";"O"
"was";"PIS";"O";"O";"was";"PIS";"O";"O";"O";"O";"O"
"mit";"ADV";"O";"O";"mit";"ADV";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"organisieren";"VVINF";"O";"O";"organisieren";"VVINF";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"anschließend";"ADJD";"O";"O";"anschließend";"ADJD";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"verteilen";"VVINF";"O";"O";"verteilen";"VVINF";"O";"O";"O";"O";"O"
"Die";"ART";"O";"O";"Die";"ART";"O";"O";"O";"O";"O"
"helfer";"ADJD";"O";"O";"helfer";"ADJD";"O";"O";"O";"O";"O"
"sind";"VAFIN";"O";"O";"sind";"VAFIN";"O";"O";"O";"O";"O"
"auch";"ADV";"O";"O";"auch";"ADV";"O";"O";"O";"O";"O"
"durchgefrohren";"ADJA";"O";"O";"durchgefrohren";"ADJA";"O";"O";"O";"O";"O"
"Am";"PTKA";"O";"O";"Am";"PTKA";"O";"O";"O";"O";"O"
"besten";"ADJD";"O";"O";"besten";"ADJD";"O";"O";"O";"O";"O"
"wäre";"VAFIN";"O";"O";"wäre";"VAFIN";"O";"O";"O";"O";"O"
"ja";"ADV";"O";"O";"ja";"ADV";"O";"O";"O";"O";"O"
"Eintopf";"NN";"O";"O";"Eintopf";"NN";"O";"O";"O";"O";"O"
"Ich";"PPER";"O";"O";"Ich";"PPER";"O";"O";"O";"O";"O"
"bin";"VAFIN";"O";"O";"bin";"VAFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"Wurzen";"NE";"LOC";"LOC";"Wurzen";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"Wenn";"KOUS";"O";"O";"Wenn";"KOUS";"O";"O";"O";"O";"O"
"noch";"ADV";"O";"O";"noch";"ADV";"O";"O";"O";"O";"O"
"jemand";"PIS";"O";"O";"jemand";"PIS";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"für";"APPR";"O";"O";"für";"APPR";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"Aufräumarbeiten";"NN";"O";"O";"Aufräumarbeiten";"NN";"O";"O";"O";"O";"O"
"oder";"KON";"O";"O";"oder";"KON";"O";"O";"O";"O";"O"
"andere";"ADJA";"O";"O";"andere";"ADJA";"O";"O";"O";"O";"O"
"Maßnahmen";"NN";"O";"O";"Maßnahmen";"NN";"O";"O";"O";"O";"O"
"benötigt";"VVFIN";"O";"O";"benötigt";"VVFIN";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"bin";"VAFIN";"O";"O";"bin";"VAFIN";"O";"O";"O";"O";"O"
"gern";"ADV";"O";"O";"gern";"ADV";"O";"O";"O";"O";"O"
"bereit";"ADJD";"O";"O";"bereit";"ADJD";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"Hallo";"ITJ";"O";"O";"Hallo";"ITJ";"O";"O";"O";"O";"O"
"wenn";"KOUS";"O";"O";"wenn";"KOUS";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"gebraucht";"VVPP";"O";"O";"gebraucht";"VVPP";"O";"O";"O";"O";"O"
"wird";"VAFIN";"O";"O";"wird";"VAFIN";"O";"O";"O";"O";"O"
"freiwillige";"ADJA";"O";"O";"freiwillige";"ADJA";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"Feuerwehren";"NN";"O";"O";"Feuerwehren";"NN";"O";"O";"O";"O";"O"
"Berlin";"NE";"LOC";"LOC";"Berlin";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"Brandenburg";"NE";"LOC";"LOC";"Brandenburg";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"stehen";"VVFIN";"O";"O";"stehen";"VVFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"Alarm";"NN";"O";"O";"Alarm";"NN";"O";"O";"O";"O";"O"
"Bereitschaft";"NN";"O";"O";"Bereitschaft";"NN";"O";"O";"O";"O";"O"
"egal";"ADV";"O";"O";"egal";"ADV";"O";"O";"O";"O";"O"
"wo";"PWAV";"O";"O";"wo";"PWAV";"O";"O";"O";"O";"O"
"Gruß";"NE";"O";"O";"Gruß";"NE";"O";"O";"O";"O";"O"
"Raphael";"NE";"O";"O";"Raphael";"NE";"O";"O";"O";"O";"O"
"Feuerwehr";"NN";"O";"O";"Feuerwehr";"NN";"O";"O";"O";"O";"O"
"Brandenburg";"NE";"LOC";"O";"Brandenburg";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"Zwickau";"NE";"LOC";"LOC";"Zwickau";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"sucht";"VVFIN";"O";"O";"sucht";"VVFIN";"O";"O";"O";"O";"O"
"HELFER";"NE";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"Gesucht";"VVPP";"O";"O";"Gesucht";"VVPP";"O";"O";"O";"O";"O"
"werden";"VAFIN";"O";"O";"werden";"VAFIN";"O";"O";"O";"O";"O"
"Freiwillige";"NE";"O";"O";"Freiwillige";"NE";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"füllen";"VVINF";"O";"O";"füllen";"VVINF";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"an";"APPR";"O";"O";"an";"APPR";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"Mulde";"NN";"LOC";"O";"Mulde";"NN";"O";"O";"LOC";"O";"O"
"stapeln";"VVFIN";"O";"O";"stapeln";"VVFIN";"O";"O";"O";"O";"O"
"Damit";"PROAV";"O";"O";"Damit";"PROAV";"O";"O";"O";"O";"O"
"soll";"VMFIN";"O";"O";"soll";"VMFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Innenstadt";"NN";"O";"O";"Innenstadt";"NN";"O";"O";"LOC";"O";"O"
"gegen";"APPR";"O";"O";"gegen";"APPR";"O";"O";"O";"O";"O"
"Wassermassen";"NN";"O";"O";"Wassermassen";"NN";"O";"O";"O";"O";"O"
"aus";"APPR";"O";"O";"aus";"APPR";"O";"O";"O";"O";"O"
"dem";"ART";"O";"O";"dem";"ART";"O";"O";"O";"O";"O"
"Fluss";"NN";"O";"O";"Fluss";"NN";"O";"O";"O";"O";"O"
"geschützt";"VVPP";"O";"O";"geschützt";"VVPP";"O";"O";"O";"O";"O"
"werden";"VAFIN";"O";"O";"werden";"VAFIN";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"sollten";"VMFIN";"O";"O";"sollten";"VMFIN";"O";"O";"O";"O";"O"
"Schaufeln";"NN";"O";"O";"Schaufeln";"NN";"O";"O";"O";"O";"O"
"mitbringen";"VVINF";"O";"O";"mitbringen";"VVINF";"O";"O";"O";"O";"O"
"Treffpunkte";"NN";"O";"O";"Treffpunkte";"NN";"O";"O";"O";"O";"O"
"sind";"VAFIN";"O";"O";"sind";"VAFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Parkplätze";"NN";"O";"O";"Parkplätze";"NN";"O";"O";"O";"O";"O"
"am";"APPRART";"O";"O";"am";"APPRART";"O";"O";"O";"O";"O"
"Alten";"ADJA";"O";"O";"Alten";"ADJA";"O";"O";"O";"O";"O"
"Gasometer";"NN";"O";"O";"Gasometer";"NN";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"unter";"APPR";"O";"O";"unter";"APPR";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"Glück-Brücke";"NN";"O";"O";"Glück-Brücke";"NN";"O";"O";"O";"O";"O"
"Ich";"PPER";"O";"O";"Ich";"PPER";"O";"O";"O";"O";"O"
"könnte";"VMFIN";"O";"O";"könnte";"VMFIN";"O";"O";"O";"O";"O"
"als";"APPR";"O";"O";"als";"APPR";"O";"O";"O";"O";"O"
"Fahrer";"NN";"O";"O";"Fahrer";"NN";"O";"O";"O";"O";"O"
"ab";"APPR";"O";"O";"ab";"APPR";"O";"O";"O";"O";"O"
"Uhr";"NN";"O";"O";"Uhr";"NN";"O";"O";"O";"O";"O"
"zur";"APPRART";"O";"O";"zur";"APPRART";"O";"O";"O";"O";"O"
"Verfügung";"NN";"O";"O";"Verfügung";"NN";"O";"O";"O";"O";"O"
"stehen";"VVFIN";"O";"O";"stehen";"VVFIN";"O";"O";"O";"O";"O"
"Habe";"NN";"O";"O";"Habe";"NN";"O";"O";"O";"O";"O"
"einen";"ART";"O";"O";"einen";"ART";"O";"O";"O";"O";"O"
"kleinen";"ADJA";"O";"O";"kleinen";"ADJA";"O";"O";"O";"O";"O"
"Opel";"NE";"O";"O";"Opel";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"Corsa";"NE";"O";"O";"Corsa";"NE";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"komme";"VVFIN";"O";"O";"komme";"VVFIN";"O";"O";"O";"O";"O"
"aus";"APPR";"O";"O";"aus";"APPR";"O";"O";"O";"O";"O"
"Delitzsch";"NE";"LOC";"LOC";"Delitzsch";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"Einfach";"ADV";"O";"O";"Einfach";"ADV";"O";"O";"O";"O";"O"
"melden";"VVINF";"O";"O";"melden";"VVINF";"O";"O";"O";"O";"O"
"antworte";"VVFIN";"O";"O";"antworte";"VVFIN";"O";"O";"O";"O";"O"
"schnell";"ADJD";"O";"O";"schnell";"ADJD";"O";"O";"O";"O";"O"
"Wo";"PWAV";"O";"O";"Wo";"PWAV";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"mithelfen";"VVINF";"O";"O";"mithelfen";"VVINF";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"füllen";"VVINF";"O";"O";"füllen";"VVINF";"O";"O";"O";"O";"O"
"Kann";"VMFIN";"O";"O";"Kann";"VMFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"irgendwo";"ADV";"O";"O";"irgendwo";"ADV";"O";"O";"O";"O";"O"
"helfen";"VVFIN";"O";"O";"helfen";"VVFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"füllen";"VVINF";"O";"O";"füllen";"VVINF";"O";"O";"O";"O";"O"
"Die";"ART";"O";"O";"Die";"ART";"O";"O";"O";"O";"O"
"Feuerwehr";"NN";"O";"O";"Feuerwehr";"NN";"O";"O";"O";"O";"O"
"Manching";"NE";"LOC";"LOC";"Manching";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"bittet";"VVFIN";"O";"O";"bittet";"VVFIN";"O";"O";"O";"O";"O"
"um";"APPR";"O";"O";"um";"APPR";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"Freiwillige";"NE";"O";"O";"Freiwillige";"NE";"O";"O";"O";"O";"O"
"werden";"VAFIN";"O";"O";"werden";"VAFIN";"O";"O";"O";"O";"O"
"gesucht";"VVPP";"O";"O";"gesucht";"VVPP";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"befüllen";"VVFIN";"O";"O";"befüllen";"VVFIN";"O";"O";"O";"O";"O"
"Hier";"ADV";"O";"O";"Hier";"ADV";"O";"O";"O";"O";"O"
"melden";"VVFIN";"O";"O";"melden";"VVFIN";"O";"O";"O";"O";"O"
"DANKE";"NE";"O";"O";"Danke";"NN";"O";"O";"O";"O";"O"
"Die";"ART";"O";"O";"Die";"ART";"O";"O";"O";"O";"O"
"Feuerwehr";"NN";"O";"O";"Feuerwehr";"NN";"O";"O";"O";"O";"O"
"Manching";"NE";"LOC";"LOC";"Manching";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"bittet";"VVFIN";"O";"O";"bittet";"VVFIN";"O";"O";"O";"O";"O"
"um";"APPR";"O";"O";"um";"APPR";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"Freiwillige";"NE";"O";"O";"Freiwillige";"NE";"O";"O";"O";"O";"O"
"werden";"VAFIN";"O";"O";"werden";"VAFIN";"O";"O";"O";"O";"O"
"gesucht";"VVPP";"O";"O";"gesucht";"VVPP";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"befüllen";"VVFIN";"O";"O";"befüllen";"VVFIN";"O";"O";"O";"O";"O"
"Hier";"ADV";"O";"O";"Hier";"ADV";"O";"O";"O";"O";"O"
"melden";"VVINF";"O";"O";"melden";"VVINF";"O";"O";"O";"O";"O"
"DANKE";"VVIMP";"O";"O";"danke";"VVFIN";"O";"O";"O";"O";"O"
"von";"APPR";"O";"O";"von";"APPR";"O";"O";"O";"O";"O"
"Benjamin";"NE";"O";"O";"Benjamin";"NE";"O";"O";"O";"O";"O"
"Liss";"NE";"O";"O";"Liss";"NE";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"von";"APPR";"O";"O";"von";"APPR";"O";"O";"O";"O";"O"
"schleching";"ADV";"O";"O";"schleching";"ADV";"O";"O";"O";"O";"O"
"aus";"APZR";"O";"O";"aus";"APZR";"O";"O";"O";"O";"O"
"helfen";"VVFIN";"O";"O";"helfen";"VVFIN";"O";"O";"O";"O";"O"
"bin";"VAFIN";"O";"O";"bin";"VAFIN";"O";"O";"O";"O";"O"
"mobil";"ADJD";"O";"O";"mobil";"ADJD";"O";"O";"O";"O";"O"
"soweit";"ADV";"O";"O";"soweit";"ADV";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"fahren";"VVINF";"O";"O";"fahren";"VVINF";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"natürlich";"ADV";"O";"O";"natürlich";"ADV";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"sitze";"VVFIN";"O";"O";"sitze";"VVFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"unterwössen";"ADJA";"O";"O";"unterwössen";"ADJA";"O";"O";"O";"O";"O"
"wenn";"KOUS";"O";"O";"wenn";"KOUS";"O";"O";"O";"O";"O"
"jemand";"PIS";"O";"O";"jemand";"PIS";"O";"O";"O";"O";"O"
"hilfe";"ADV";"O";"O";"hilfe";"ADV";"O";"O";"O";"O";"O"
"braucht";"VVFIN";"O";"O";"braucht";"VVFIN";"O";"O";"O";"O";"O"
"Lauterbach";"NE";"LOC";"O";"Lauterbach";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"gmd";"XY";"O";"O";"gmd";"XY";"O";"O";"O";"O";"O"
"Rohrdorfer";"NN";"LOC";"O";"Rohrdorfer";"NN";"O";"O";"O";"O";"O"
"gemeinde";"ADJA";"O";"O";"gemeinde";"ADJA";"O";"O";"O";"O";"O"
"wer";"PWS";"O";"O";"wer";"PWS";"O";"O";"O";"O";"O"
"hilfe";"ADV";"O";"O";"hilfe";"ADV";"O";"O";"O";"O";"O"
"braucht";"VVFIN";"O";"O";"braucht";"VVFIN";"O";"O";"O";"O";"O"
"Von";"APPR";"O";"O";"Von";"APPR";"O";"O";"O";"O";"O"
"Bergen";"NE";"LOC";"O";"Bergen";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"kommt";"VVFIN";"O";"O";"kommt";"VVFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"fast";"ADV";"O";"O";"fast";"ADV";"O";"O";"O";"O";"O"
"nicht";"PTKNEG";"O";"O";"nicht";"PTKNEG";"O";"O";"O";"O";"O"
"raus";"ADV";"O";"O";"raus";"ADV";"O";"O";"O";"O";"O"
"aber";"ADV";"O";"O";"aber";"ADV";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"Bergen";"NE";"LOC";"O";"Bergen";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"würd";"VVFIN";"O";"O";"würd";"VVFIN";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"sofort";"ADV";"O";"O";"sofort";"ADV";"O";"O";"O";"O";"O"
"helfen";"VVFIN";"O";"O";"helfen";"VVFIN";"O";"O";"O";"O";"O"
"Hab";"NN";"O";"O";"Hab";"NN";"O";"O";"O";"O";"O"
"gutes";"ADJA";"O";"O";"gutes";"ADJA";"O";"O";"O";"O";"O"
"Regen";"NN";"O";"O";"Regen";"NN";"O";"O";"LOC";"O";"O"
"gwand";"VVFIN";"O";"O";"gwand";"VVFIN";"O";"O";"O";"O";"O"
"Wird";"VAFIN";"O";"O";"Wird";"VAFIN";"O";"O";"O";"O";"O"
"heute";"ADV";"O";"O";"heute";"ADV";"O";"O";"O";"O";"O"
"irgend";"ADV";"O";"O";"irgend";"ADV";"O";"O";"O";"O";"O"
"welche";"PWAT";"O";"O";"welche";"PWAT";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"benötigt";"VVFIN";"O";"O";"benötigt";"VVFIN";"O";"O";"O";"O";"O"
"Bin";"NE";"O";"O";"Bin";"NE";"O";"O";"O";"O";"O"
"mobil";"ADJD";"O";"O";"mobil";"ADJD";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"von";"APPR";"O";"O";"von";"APPR";"O";"O";"O";"O";"O"
"TS";"NN";"LOC";"O";"Ts";"NE";"O";"O";"O";"O";"O"
"aus";"APPR";"O";"O";"aus";"APPR";"O";"O";"O";"O";"O"
"kommt";"VVFIN";"O";"O";"kommt";"VVFIN";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"auch";"ADV";"O";"O";"auch";"ADV";"O";"O";"O";"O";"O"
"ganz";"ADV";"O";"O";"ganz";"ADV";"O";"O";"O";"O";"O"
"gut";"ADJD";"O";"O";"gut";"ADJD";"O";"O";"O";"O";"O"
"weg";"PTKVZ";"O";"O";"weg";"PTKVZ";"O";"O";"O";"O";"O"
"wer";"PWS";"O";"O";"wer";"PWS";"O";"O";"O";"O";"O"
"wenn";"KOUS";"O";"O";"wenn";"KOUS";"O";"O";"O";"O";"O"
"zum";"APPRART";"O";"O";"zum";"APPRART";"O";"O";"O";"O";"O"
"sandsäcke";"PIS";"O";"O";"sandsäcke";"PIS";"O";"O";"O";"O";"O"
"füllen";"VVFIN";"O";"O";"füllen";"VVFIN";"O";"O";"O";"O";"O"
"braucht";"VVFIN";"O";"O";"braucht";"VVFIN";"O";"O";"O";"O";"O"
"oder";"KON";"O";"O";"oder";"KON";"O";"O";"O";"O";"O"
"anders";"ADV";"O";"O";"anders";"ADV";"O";"O";"O";"O";"O"
"hilfe";"ADV";"O";"O";"hilfe";"ADV";"O";"O";"O";"O";"O"
"braucht";"VVFIN";"O";"O";"braucht";"VVFIN";"O";"O";"O";"O";"O"
"einfach";"ADV";"O";"O";"einfach";"ADV";"O";"O";"O";"O";"O"
"anschreiben";"VVFIN";"O";"O";"anschreiben";"VVFIN";"O";"O";"O";"O";"O"
"habe";"VAFIN";"O";"O";"habe";"VAFIN";"O";"O";"O";"O";"O"
"gerade";"ADV";"O";"O";"gerade";"ADV";"O";"O";"O";"O";"O"
"eine";"ART";"O";"O";"eine";"ART";"O";"O";"O";"O";"O"
"woche";"ADJA";"O";"O";"woche";"ADJA";"O";"O";"O";"O";"O"
"urlaub";"NN";"O";"O";"Urlaub";"NN";"O";"O";"O";"O";"O"
"Ich";"PPER";"O";"O";"Ich";"PPER";"O";"O";"O";"O";"O"
"könnte";"VMFIN";"O";"O";"könnte";"VMFIN";"O";"O";"O";"O";"O"
"ja";"ADV";"O";"O";"ja";"ADV";"O";"O";"O";"O";"O"
"mithelfen";"VVINF";"O";"O";"mithelfen";"VVINF";"O";"O";"O";"O";"O"
"bei";"APPR";"O";"O";"bei";"APPR";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"Koordination";"NN";"O";"O";"Koordination";"NN";"O";"O";"O";"O";"O"
"habt";"VAFIN";"O";"O";"habt";"VAFIN";"O";"O";"O";"O";"O"
"ihr";"PPER";"O";"O";"ihr";"PPER";"O";"O";"O";"O";"O"
"schon";"ADV";"O";"O";"schon";"ADV";"O";"O";"O";"O";"O"
"eine";"ART";"O";"O";"eine";"ART";"O";"O";"O";"O";"O"
"Hotline";"NN";"O";"O";"Hotline";"NN";"O";"O";"O";"O";"O"
"eingerichtet";"VVPP";"O";"O";"eingerichtet";"VVPP";"O";"O";"O";"O";"O"
"Alle";"PIDAT";"O";"O";"Alle";"PIDAT";"O";"O";"O";"O";"O"
"nach";"APPR";"O";"O";"nach";"APPR";"O";"O";"O";"O";"O"
"Manching";"NE";"LOC";"LOC";"Manching";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"kommen";"VVFIN";"O";"O";"kommen";"VVFIN";"O";"O";"O";"O";"O"
"hier";"ADV";"O";"O";"hier";"ADV";"O";"O";"O";"O";"O"
"säuft";"VVFIN";"O";"O";"säuft";"VVFIN";"O";"O";"O";"O";"O"
"bald";"ADV";"O";"O";"bald";"ADV";"O";"O";"O";"O";"O"
"alles";"PIS";"O";"O";"alles";"PIS";"O";"O";"O";"O";"O"
"ab";"PTKVZ";"O";"O";"ab";"PTKVZ";"O";"O";"O";"O";"O"
"Brauchen";"VVFIN";"O";"O";"Brauchen";"VVFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"eine";"ART";"O";"O";"eine";"ART";"O";"O";"O";"O";"O"
"Brotzeit";"NN";"O";"O";"Brotzeit";"NN";"O";"O";"O";"O";"O"
"Wurstsemmeln";"NN";"O";"O";"Wurstsemmeln";"NN";"O";"O";"O";"O";"O"
"Komme";"NN";"O";"O";"Komme";"NN";"O";"O";"O";"O";"O"
"aus";"APPR";"O";"O";"aus";"APPR";"O";"O";"O";"O";"O"
"Langenbruck";"NE";"LOC";"LOC";"Langenbruck";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"Aufräumen";"NN";"O";"O";"Aufräumen";"NN";"O";"O";"O";"O";"O"
"Ausräumen";"NE";"O";"O";"Ausräumen";"NE";"O";"O";"O";"O";"O"
"Keller";"NE";"O";"O";"Keller";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"auspumpen";"ADJA";"O";"O";"auspumpen";"ADJA";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"füllen";"VVFIN";"O";"O";"füllen";"VVFIN";"O";"O";"O";"O";"O"
"Daniel";"NE";"O";"O";"Daniel";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"Strauch";"NE";"O";"O";"Strauch";"NE";"O";"LOC";"LOC";"LOC";"LOC"
"bietet";"VVFIN";"O";"O";"bietet";"VVFIN";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"an";"APPR";"O";"O";"an";"APPR";"O";"O";"O";"O";"O"
"Danke";"NN";"O";"O";"Danke";"NN";"O";"O";"O";"O";"O"
